"Scenario","Region","Variable","Type","Year","Value"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2005","1725.168000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2006","1855.169000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2007","1870.362000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2008","1917.388000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2009","1861.500000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2010","1908.777000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2011","1972.190000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2012","2089.118000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2013","2250.100000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2014","3497.700000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2015","2120.298000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2016","2127.448000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2017","1158.511000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2018","1837.126000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2019","1844.108000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2020","1793.959000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2021","1790.094000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2022","1693.956000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2023","1685.890000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2024","1296.836000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2025","1373.441000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2026","1368.957000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2027","1368.142000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2028","1390.459000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2029","1386.037000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2030","1169.044000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2031","1137.177000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2032","1390.596000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2033","1277.793000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2034","1264.096000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2035","1184.500000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2036","1925.966000"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel","2037","3298.084000"
