"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2005","484.570200"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2006","491.161500"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2007","487.927900"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2008","468.429600"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2009","454.130100"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2010","419.271700"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2011","429.646400"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2012","419.762300"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2013","429.275400"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2014","480.225700"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2015","423.352100"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2016","418.166100"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2017","398.279000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2018","316.803000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2019","298.456000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2020","245.608000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2021","177.602000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2022","109.281000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2023","97.619000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2024","40.567100"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2025","0.152800"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2026","0.128000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2027","0.106900"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2028","0.086600"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2029","0.067100"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2030","0.045800"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2031","0.037600"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2032","0.029200"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2033","0.019900"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2034","0.010300"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2035","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2036","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2037","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2038","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2039","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2040","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2041","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2042","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2043","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2044","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2045","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2046","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2047","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2048","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2049","0.000000"
"Canada Net-zero","Alberta","Coal, Coke and Coke Oven Gas","2050","0.000000"
"Canada Net-zero","Alberta","Hydro","2005","8.337600"
"Canada Net-zero","Alberta","Hydro","2006","5.339500"
"Canada Net-zero","Alberta","Hydro","2007","5.339500"
"Canada Net-zero","Alberta","Hydro","2008","5.339500"
"Canada Net-zero","Alberta","Hydro","2009","5.339500"
"Canada Net-zero","Alberta","Hydro","2010","5.339500"
"Canada Net-zero","Alberta","Hydro","2011","7.109300"
"Canada Net-zero","Alberta","Hydro","2012","9.259700"
"Canada Net-zero","Alberta","Hydro","2013","7.159800"
"Canada Net-zero","Alberta","Hydro","2014","6.557000"
"Canada Net-zero","Alberta","Hydro","2015","7.118900"
"Canada Net-zero","Alberta","Hydro","2016","7.095900"
"Canada Net-zero","Alberta","Hydro","2017","7.422400"
"Canada Net-zero","Alberta","Hydro","2018","7.168000"
"Canada Net-zero","Alberta","Hydro","2019","7.356500"
"Canada Net-zero","Alberta","Hydro","2020","7.744800"
"Canada Net-zero","Alberta","Hydro","2021","7.465900"
"Canada Net-zero","Alberta","Hydro","2022","7.168600"
"Canada Net-zero","Alberta","Hydro","2023","6.422100"
"Canada Net-zero","Alberta","Hydro","2024","7.175500"
"Canada Net-zero","Alberta","Hydro","2025","7.188900"
"Canada Net-zero","Alberta","Hydro","2026","7.209600"
"Canada Net-zero","Alberta","Hydro","2027","6.543800"
"Canada Net-zero","Alberta","Hydro","2028","6.571700"
"Canada Net-zero","Alberta","Hydro","2029","6.522800"
"Canada Net-zero","Alberta","Hydro","2030","6.539300"
"Canada Net-zero","Alberta","Hydro","2031","6.552800"
"Canada Net-zero","Alberta","Hydro","2032","6.567000"
"Canada Net-zero","Alberta","Hydro","2033","6.919100"
"Canada Net-zero","Alberta","Hydro","2034","7.085100"
"Canada Net-zero","Alberta","Hydro","2035","7.059200"
"Canada Net-zero","Alberta","Hydro","2036","6.544800"
"Canada Net-zero","Alberta","Hydro","2037","6.704500"
